Latitude,Longitude,SOURCE,SOURCE.NAM,OTHER.NAME,WELL.ID,Al (ppb),As (ppb),Ba (ppb),Ca (ppb),Cl (ppb),Cr (ppb),Cu (ppb),F (ppb),Fe (ppb),K (ppb),Mg (ppb),Mn (ppb),Mo (ppb),Ni (ppb),NO3 (ppb),Pb (ppb),Se (ppb),SO4 (ppb),Sr (ppb),U (ppb),V (ppb0,Zn (ppb),Cr_level,Cr_level1
37.29069444,-121.08755559999999,USGS,DM-U-17,DM-U-17,DM-U-17,1270.0,14.6,387.0,46800.0,31300.0,1.5,16.7,300.0,1730.0,4880.0,17500.0,667.0,3.99,7.3,15200.0,20.8,0.86,51000.0,669.0,2.4419999999999997,32.5,65.3,1,Normal Cr
39.01633333,-121.43580559999998,USGS,ESAC-01,ESAC-01,ESAC-01,3.0,1.2,64.1,29100.0,31700.0,2.9,4.1,140.0,5.0,1400.0,18400.0,0.28,0.349,0.2,4330.0,0.68,1.1,27100.0,206.0,0.15244000000000002,13.1,9.9,2,Normal Cr
39.01633333,-121.43580559999998,USGS,ESAC-01,ESAC-01,ESAC-01,4.3,0.88,65.8,28100.0,55000.0,3.2,1.2,150.0,6.0,1060.0,21400.0,0.4,0.47,0.25,2120.0,1.42,0.71,26100.0,231.0,0.1406,10.6,4.6,2,Normal Cr
39.27622222,-121.65566670000001,USGS,ESAC-05,ESAC-05,ESAC-05,1.6,19.6,104.0,32700.0,7850.0,4.9,1.2,70.0,6.0,3510.0,36800.0,0.2,1.77,1.38,6250.0,0.24,0.61,44100.0,214.0,2.7528,28.8,2.8,2,Normal Cr
39.64427778,-121.7203889,USGS,ESAC-06,ESAC-06,ESAC-06,1.5,0.97,14.9,18100.0,2260.0,1.2,3.3,80.0,6.0,1750.0,12100.0,0.18,0.24,0.26,786.0,2.11,0.05,1510.0,112.0,0.11988,28.8,10.7,1,Normal Cr
39.06616667,-121.55375,USGS,ESAC-10,ESAC-10,ESAC-10,1.6,5.0,99.1,40600.0,36600.0,0.16,0.4,150.0,29.6,1730.0,28100.0,95.1,0.61,0.18,299.0,0.19,1.0,13900.0,319.0,6.068,6.5,1.7,0,Normal Cr
39.33275,-121.81616670000001,USGS,ESAC-11,ESAC-11,ESAC-11,1.6,70.0,130.0,13600.0,4620.0,0.02,0.4,70.0,6.8,3740.0,10500.0,112.0,1.98,0.04,60.0,0.19,0.08,1970.0,138.0,0.6956,40.4,0.42,0,Normal Cr
39.59672222,-121.9783889,USGS,ESAC-12,ESAC-12,ESAC-12,4.5,4.4,87.2,23900.0,12900.0,6.0,3.2,120.0,3.9,1590.0,12500.0,0.25,2.31,0.13,823.0,1.03,0.4,9460.0,290.0,0.444,12.2,4.4,3,Normal Cr
39.75883333,-121.8523889,USGS,ESAC-15,ESAC-15,ESAC-15,0.8,0.47,15.8,22400.0,8130.0,6.7,0.21,70.0,6.0,1170.0,14400.0,0.2,0.4,0.07,60.0,0.14,0.16,6350.0,145.0,0.07992,17.7,0.73,3,Normal Cr
39.80847222,-121.8521389,USGS,ESAC-16,ESAC-16,ESAC-16,1.1,0.78,25.4,18900.0,36300.0,0.58,0.4,80.0,6.0,3250.0,14000.0,0.15,0.2,0.14,776.0,0.1,0.06,10300.0,123.0,0.2368,21.1,0.52,0,Normal Cr
39.10886111,-121.63430559999999,USGS,ESAC-17,ESAC-17,ESAC-17,1.6,16.0,385.0,55400.0,124000.0,0.02,0.4,110.0,355.0,5100.0,48900.0,568.0,1.8,0.22,60.0,0.2,0.08,22000.0,488.0,0.03996,0.05,3.2,0,Normal Cr
39.72811111,-121.80944440000002,USGS,ESAC-18,ESAC-18,ESAC-18,1.4,0.73,20.9,17900.0,5390.0,0.97,0.4,60.0,5.0,2460.0,11700.0,0.2,0.23,0.2,672.0,0.17800000000000002,0.04,2620.0,128.0,0.3848,21.8,3.0,0,Normal Cr
39.72811111,-121.80944440000002,USGS,ESAC-18,ESAC-18,ESAC-18,3.0,0.67,21.1,18700.0,5120.0,0.94,0.69,90.0,6.0,2380.0,11300.0,0.4,0.24,0.09,738.0,0.09,0.05,2560.0,116.0,0.3552,19.8,0.58,0,Normal Cr
39.14563889,-121.75569440000001,USGS,ESAC-19,ESAC-19,ESAC-19,6.3,8.8,151.0,38100.0,9660.0,6.9,0.32,240.0,5.0,3460.0,18400.0,0.2,1.23,0.21,576.0,0.04,0.6,24000.0,354.0,1.34976,23.2,2.0,3,Normal Cr
